q;vol;cpc;db;src;cluster;geo;reason
greece golden visa;2900;2.39;us;semrush-volumes.csv;visa;country;
property sales corfu greece;2900;0.33;uk;semrush-fullsearch-uk.csv;property;island_region;
houses for sale in greece;2400;0.2;us;semrush-volumes.csv;property;country;
homes for sale in greece;2400;0.2;us;semrush-volumes.csv;property;country;
property for sale in crete greece;1600;0.15;uk;semrush-volumes.csv;property;island_region;
property for sale in greece;1300;0.29;uk;semrush-volumes.csv;property;country;
greece property for sale;1300;0.29;uk;semrush-volumes.csv;property;country;
houses for sale in greece;1300;0.38;uk;semrush-volumes.csv;property;country;
property for sale greece;1300;0.29;uk;semrush-volumes.csv;property;country;
houses for sale in crete greece;1300;0.15;uk;semrush-volumes.csv;property;island_region;
property for sale in corfu greece;1300;0.27;uk;semrush-volumes.csv;property;island_region;
houses for sale in corfu greece;1300;0.26;uk;semrush-volumes.csv;property;island_region;
greece real estate;1000;0.27;us;semrush-volumes.csv;property;country;
athens real estate;1000;0.34;us;semrush-volumes.csv;property;city;
golden visa greece;1000;2.39;us;semrush-volumes.csv;visa;country;
cost of living in greece;1000;0.75;us;semrush-volumes.csv;life;country;
greek property for sale;1000;0.29;uk;semrush-volumes.csv;property;country;
property for sale in kefalonia greece;1000;0.18;uk;semrush-volumes.csv;property;island_region;
greece golden visa;1000;1.05;uk;semrush-volumes.csv;visa;country;
houses for sale in greece corfu;1000;0.26;uk;fullsearch-uk-house.csv;property;island_region;
greek golden visa;880;2.39;us;semrush-volumes.csv;visa;country;
buy property in greece;880;0.36;uk;semrush-volumes.csv;property;country;
buying property in greece;880;0.29;uk;semrush-volumes.csv;property;country;
golden visa greece;880;1.05;uk;semrush-volumes.csv;visa;country;
property for sale corfu greece;880;0.27;uk;semrush-fullsearch-uk.csv;property;island_region;
houses for sale in crete greece;720;0.12;us;semrush-volumes.csv;property;island_region;
living in greece;720;0.98;us;semrush-volumes.csv;life;country;
moving to greece;720;1.53;us;semrush-volumes.csv;life;country;
homes for sale in greece;720;0.25;uk;semrush-volumes.csv;property;country;
houses for sale in kefalonia greece;720;0.15;uk;semrush-volumes.csv;property;island_region;
property for sale crete greece;720;0.15;uk;semrush-fullsearch-uk.csv;property;island_region;
greece golden visa program;720;2.25;us;fullsearch-us-goldenvisa.csv;visa;country;
greece real estate news today;720;0.0;us;fullsearch-us-realestate.csv;news;country;
greece residency by investment;720;3.12;ae;secondary;visa;country;
property for sale in greece;590;0.29;us;semrush-volumes.csv;property;country;
buy property in greece;590;0.29;us;semrush-volumes.csv;property;country;
greece houses for sale;590;0.2;us;semrush-volumes.csv;property;country;
crete real estate;590;0.16;us;semrush-volumes.csv;property;island_region;
houses for sale in santorini greece;590;0.16;us;semrush-volumes.csv;property;island_region;
greece digital nomad visa;590;4.98;us;semrush-volumes.csv;visa;country;
greece citizenship by investment;590;1.7;us;semrush-volumes.csv;visa;country;
property in greece;590;0.45;uk;semrush-volumes.csv;property;country;
greece houses for sale;590;0.25;uk;semrush-volumes.csv;property;country;
property for sale in skiathos greece;590;0.2;uk;semrush-volumes.csv;property;island_region;
greek golden visa;590;1.05;uk;semrush-volumes.csv;visa;country;
buy property crete greece;590;0.13;uk;semrush-fullsearch-uk.csv;property;island_region;
greece property to buy;590;0.29;uk;semrush-fullsearch-uk.csv;property;country;
properties for sale greece;590;0.29;uk;semrush-fullsearch-uk.csv;property;country;
properties for sale in greece;590;0.29;uk;semrush-fullsearch-uk.csv;property;country;
property for sale in zante greece;590;0.14;uk;semrush-fullsearch-uk.csv;property;island_region;
property in greece for sale;590;0.29;uk;semrush-fullsearch-uk.csv;property;country;
property to buy in greece;590;0.29;uk;semrush-fullsearch-uk.csv;property;country;
greece real estate news;590;0.0;us;fullsearch-us-realestate.csv;news;country;
greece property for sale;480;0.29;us;semrush-volumes.csv;property;country;
real estate greece;480;0.26;us;semrush-volumes.csv;property;country;
houses for sale in athens greece;480;0.26;us;semrush-volumes.csv;property;city;
greece visa for us citizens;480;0.0;us;semrush-volumes.csv;visa;country;
retire in greece;480;1.73;us;semrush-volumes.csv;life;country;
villas for sale in greece;480;0.54;uk;semrush-volumes.csv;property;country;
zakynthos greece property for sale;480;0.14;uk;semrush-fullsearch-uk.csv;property;island_region;
moving to greece from uk;480;0.93;uk;fullsearch-uk-move.csv;life;country;
real estate in greece;480;0.29;us;fullsearch-us-realestate.csv;property;country;
buying property in greece;390;0.29;us;semrush-volumes.csv;property;country;
greek real estate;390;0.26;us;semrush-volumes.csv;property;country;
property greece;390;0.45;uk;semrush-volumes.csv;property;country;
properties in greece for sale;390;0.29;uk;semrush-fullsearch-uk.csv;property;country;
property for sale corfu island greece;390;0.27;uk;semrush-fullsearch-uk.csv;property;island_region;
property sale corfu greece;390;0.27;uk;semrush-fullsearch-uk.csv;property;island_region;
house for sale in greece;390;0.38;uk;fullsearch-uk-house.csv;property;country;
houses in greece;390;0.53;uk;fullsearch-uk-house.csv;property;country;
houses in greece for sale;390;0.25;uk;fullsearch-uk-house.csv;property;country;
golden visa greece applications drop;390;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
real estate crete greece;390;0.16;us;fullsearch-us-realestate.csv;property;island_region;
houses for sale in greece;390;0.08;ca;secondary;property;country;
homes for sale in greece;390;0.08;ca;secondary;property;country;
corfu real estate;320;0.19;us;semrush-volumes.csv;property;island_region;
greece retirement visa;320;1.2;us;semrush-volumes.csv;visa;country;
property for sale in zakynthos greece;320;0.14;uk;semrush-volumes.csv;property;island_region;
greece sale property;320;0.29;uk;semrush-fullsearch-uk.csv;property;country;
property for sale greece crete;320;0.15;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale in greece islands;320;0.25;uk;semrush-fullsearch-uk.csv;property;country;
property for sale rhodes island greece;320;0.28;uk;semrush-fullsearch-uk.csv;property;island_region;
property sale crete greece;320;0.15;uk;semrush-fullsearch-uk.csv;property;island_region;
for sale house in greece;320;0.25;uk;fullsearch-uk-house.csv;property;country;
houses for sale in greece europe;320;0.25;uk;fullsearch-uk-house.csv;property;country;
houses for sale in skiathos greece;320;0.58;uk;fullsearch-uk-house.csv;property;island_region;
houses for sale in zante greece;320;0.14;uk;fullsearch-uk-house.csv;property;island_region;
villa for sale greece;320;0.29;uk;fullsearch-uk-villa.csv;property;country;
villa for sale in greece;320;0.54;uk;fullsearch-uk-villa.csv;property;country;
living in greece as an american;320;0.94;us;fullsearch-us-living.csv;life;country;
corfu greece real estate;320;0.19;us;fullsearch-us-realestate.csv;property;island_region;
greece real estate for sale;320;0.22;us;fullsearch-us-realestate.csv;property;country;
real estate on crete greece;320;0.16;us;fullsearch-us-realestate.csv;property;island_region;
houses for sale in greece;320;0.14;au;secondary;property;country;
greece real estate;320;0.14;ca;secondary;property;country;
greece golden visa;320;3.12;ae;secondary;visa;country;
golden visa greece;320;3.12;ae;secondary;visa;country;
greek golden visa;320;3.12;ae;secondary;visa;country;
