page;clicks;impressions;position
/guides/crete-golden-visa-400000-property/;8;118;7.9
/guides/golden-visa-eligible-projects-directory/;6;58;9.6
/;5;40;15.7
/areas/costa-navarino-property-investment/;3;207;6.6
/guides/enfia-property-tax-greece/;3;790;6.8
/guides/greece-golden-visa-120-square-meter-rule/;2;265;8.3
/areas/chania-property-investment/;1;27;8.9
/areas/elounda-property-investment/;1;30;6.3
/areas/voula-property-investment/;1;38;6.6
/guides/border-zones-greece-foreign-buyers/;1;73;5.5
/guides/corfu-property-investment-golden-visa/;1;16;16.6
/guides/greece-golden-visa-lawyer-cost/;1;289;50.7
/guides/greece-property-market-transactions-2025/;1;79;4.6
/guides/halkidiki-property-investment-guide/;1;49;8.1
/guides/israeli-buyers-greece-property/;1;23;10.7
/guides/power-of-attorney-property-greece/;1;112;6.2
/areas/mykonos-property-investment/;0;62;44.3
/areas/santorini-property-investment/;0;16;8
/greece-golden-visa-consultation/;0;26;76.2
/greece-property-consultation/;0;3;5.3
/guides/best-regions-invest-greece-property-2026/;0;25;9.3
/guides/brexit-uk-buyers-greece-property/;0;34;9.1
/guides/can-you-sell-property-after-golden-visa-greece/;0;22;17.5
/guides/due-diligence-greece-property/;0;264;22.2
/guides/golden-visa-greece-bank-transfer-proof-funds/;0;3;11
/guides/golden-visa-property-due-diligence-checklist/;0;32;60.4
/guides/greece-citizenship-after-golden-visa/;0;68;6.4
/guides/greece-golden-visa-australian-buyers/;0;4;8.8
/guides/greece-golden-visa-bank-account-afm/;0;87;30.4
/guides/greece-golden-visa-canadian-buyers/;0;4;8.5
/guides/greece-golden-visa-family-members-rules/;0;229;21.4
/guides/greece-golden-visa-french-buyers/;0;3;6
/guides/greece-golden-visa-indian-buyers/;0;1;6
/guides/greece-golden-visa-uae-buyers/;0;2;4
/guides/greece-golden-visa-us-citizens/;0;2;6
/guides/greece-property-insurance-foreign-buyers/;0;4;7.8
/guides/greece-property-pink-slip-foreign-buyers/;0;11;9.5
/guides/greece-property-transfer-tax-fma/;0;89;7.7
/guides/greece-rental-yield-guide/;0;988;6.8
/guides/greek-property-glossary-foreign-buyers/;0;108;20.7
/guides/hidden-costs-buying-property-greece/;0;640;5.2
/guides/how-long-can-you-stay-greece-golden-visa/;0;66;64.9
/guides/how-to-buy-property-greece-step-by-step/;0;148;26.6
/guides/is-greece-property-good-investment-2026/;0;83;7.9
/guides/making-offer-greek-property-step-by-step/;0;15;33.3
/guides/nafplio-property-investment-golden-visa/;0;4;21
/guides/paros-antiparos-property-investment/;0;5;18.2
/guides/rhodes-golden-visa-400000-property-guide/;0;3;6
/guides/thessaloniki-golden-visa-800000-property/;0;8;5
/news/greece-golden-visa-approvals-2025/;0;87;4.2
/tools/greece-property-cost-calculator/;0;103;7
