q;vol;cpc;db;src;cluster;geo;reason
villas in greece;8100;1.02;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
elounda lasithi greece;3600;1.12;uk;placenames-uk.csv;other;district;resort_placename
parga epirus greece;3600;1.03;uk;placenames-uk.csv;other;district;resort_placename
lassi kefalonia greece;2900;1.18;uk;placenames-uk.csv;other;island_region;resort_placename
skala kefalonia greece;2400;1.44;uk;placenames-uk.csv;other;district;resort_placename
greece villas;1900;1.27;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villa holidays greece;1900;1.35;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villa in greece;1900;1.02;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villas with pool greece;1900;1.68;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
pefkos rhodes greece;1900;1.14;uk;placenames-uk.csv;other;island_region;resort_placename
airbnb greece;1600;0.35;uk;semrush-volumes.csv;other;country;rental_not_buy
faliraki rhodes greece;1600;1.42;uk;placenames-uk.csv;other;island_region;resort_placename
fiskardo kefalonia greece;1600;1.21;uk;placenames-uk.csv;other;island_region;resort_placename
villas greece;1300;1.02;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villas in greece with private pool;1300;1.76;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
kefalos kos greece;1300;1.67;uk;placenames-uk.csv;other;island_region;resort_placename
kardamyli messinia greece;1300;1.41;uk;placenames-uk.csv;other;country;resort_placename
airbnb greece;1000;0.52;us;semrush-volumes.csv;other;country;rental_not_buy
greece villa;1000;1.02;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
holiday villas in greece;1000;1.79;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
luxury villas greece;1000;3.21;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villa greece;1000;1.27;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villa greece for rent;1000;1.72;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
naoussa paros greece;1000;1.27;uk;placenames-uk.csv;other;island_region;resort_placename
laganas zakynthos greece;1000;1.57;uk;placenames-uk.csv;other;district;resort_placename
greece villa holidays;880;1.57;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villas to rent in greece;880;1.36;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
one and only kea island;720;2.45;us;semrush-volumes.csv;other;country;named_resort
elounda gulf villas suites greece;720;1.79;uk;fullsearch-uk-villa.csv;property;district;named_resort
luxury villas in greece;720;3.21;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
mykonos greece villas;720;3.13;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
paxos greece villas;720;2.59;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
