keyword;position;volume;traffic;url;kd
property for sale in crete greece;2;1600;211;/property/greece/crete;34
houses for sale in crete greece;2;1300;171;/property/greece/crete;18
property for sale greece;2;1300;171;/greece;38
property for sale in greece;2;1300;171;/greece;39
houses for sale greece;2;1000;132;/greece;35
property for sale in kefalonia greece;2;1000;132;/property/greece/ionian-islands/kefalonia;24
houses for sale in corfu greece;3;1600;131;/property/greece/ionian-islands/corfu;15
property sales corfu greece;5;2900;127;/property/greece/ionian-islands/corfu;33
houses for sale in greece;3;1300;106;/greece;38
property for sale in corfu greece;3;1300;106;/property/greece/ionian-islands/corfu;24
houses for sale in kefalonia greece;2;720;95;/property/greece/ionian-islands/kefalonia;9
property for sale in zante greece;2;590;77;/property/greece/ionian-islands/zante;10
villas for sale in greece;2;480;63;/property/greece/villa;26
houses for sale in skiathos greece;2;320;42;/property/greece/aegean-islands/skiathos;11
zakynthos greece property for sale;3;480;39;/property/greece/ionian-islands/zante;8
elounda lasithi greece;6;2900;37;/property/greece/crete/lasithi/elounda;22
cheap houses for sale in greece near beach;1;260;34;/property/greece;31
cheap property in greece;1;140;34;/property/greece/cheap-properties;16
