keyword;position;volume;traffic;url;kd
property for sale greek islands;2;480;63;/property-city/more-islands/;37
greek homes;2;390;51;/property-city/more-islands/;50
buy villa kefalonia;6;1300;45;/property-city/kefalonia/;11
greek island property for sale;2;320;42;/property-city/more-islands/;26
property for sale in greece islands;2;320;42;/property-city/more-islands/;33
island of santorini;9;8100;40;/about-santorini-island/;39
skiathos real estate for sale;3;480;39;/property-city/skiathos/;12
property for sale in greece;6;1300;39;/property-city/more-islands/;39
houses for sale in greece;7;1300;39;/property-city/more-islands/;38
villas for sale greece;2;260;34;/property-feature/swimming-pool/;22
houses for sale greek islands;2;260;34;/property-city/more-islands/;31
property for sale on skiathos;4;480;31;/property-city/skiathos/;11
greece property for sale;9;1300;31;/property-city/more-islands/;39
where is santorini located;7;1300;31;/about-santorini-island/;28
property for sale lefkada greece;2;210;27;/property-city/lefkada/page/2/;16
houses for sale in greece islands;2;210;27;/property-city/more-islands/;32
villas for sale in rhodes;2;210;27;/property-city/rhodes/;9
property for sale in zakynthos greece;4;390;25;/properties-in-zakynthos/;9
houses in greece;4;390;25;/property-city/more-islands/;46
property for sale on the island of rhodes;3;390;25;/property-city/rhodes/;14
property for sale in zante greece;5;590;25;/properties-in-zakynthos/;10
greek property for sale;7;1000;24;/property-city/more-islands/;46
villas in greece;12;8100;24;/property-type/villa-greece/;18
zakynthos villas for sale;1;90;22;/property-city/zakynthos/;9
homes for sale in santorini greece;2;170;22;/santorini-properties-for-sale.../;9
greek island homes for sale;2;170;22;/property-city/more-islands/;23
greece property for sale by the beach;1;90;22;/property-feature/direct-sea-access/;25
property for sale naxos island greece;2;170;22;/property-city/naxos/;7
property for sale in santorini greece;2;170;22;/santorini-properties-for-sale.../;8
naxos property for sale;3;260;21;/property-city/naxos/;10
buy property greek islands;3;260;21;/property-city/more-islands/;37
homes for sale in crete greece;8;880;21;/villas-and-homes-in-crete/;22
homes for sale in greece;6;590;20;/property-city/more-islands/;43
property for sale in kefalonia;10;1000;19;/property-city/kefalonia/;18
rhodes greece real estate for sale;2;140;18;/property-city/rhodes/;10
villas for sale in corfu;8;720;17;/property-city/corfu-villas/page/2/;14
kefalonia villas for sale;8;720;17;/property-city/kefalonia/;10
property for sale mykonos;4;260;16;/property-city/mykonos/;14
zakynthos greece property for sale;6;480;16;/property-city/zakynthos/;8
houses for sale in kefalonia greece;10;720;15;/property-city/kefalonia/;9
villas for sale in greece with private pool;2;110;14;/property-feature/swimming-pool/;8
houses for sale in lefkada greece;2;110;14;/property-city/lefkada/page/2/;10
