keyword;position;volume;traffic;url;kd
rightmove greece;1;880;704;/overseas-property/in-Greece.html;42
buy property in greece;1;880;704;/overseas-property/in-Greece.html;47
right move greece;1;590;472;/overseas-property/in-Greece.html;41
greece property to buy;1;590;472;/overseas-property/in-Greece.html;44
buy property crete greece;1;590;472;/overseas-property-for-sale/Crete.html;42
buy greece house;1;1900;471;/overseas-property/in-Greece.html;40
houses for sale in corfu greece;1;1600;396;/overseas-property-for-sale/Corfu.html;15
property for sale in crete greece;1;1600;396;/overseas-property-for-sale/Crete.html;34
houses for sale in crete greece;1;1300;322;/overseas-property-for-sale/Crete.html;18
greece property for sale;1;1300;322;/overseas-property/in-Greece.html;39
property for sale greece;1;1300;322;/overseas-property/in-Greece.html;38
property for sale in greece;1;1300;322;/overseas-property/in-Greece.html;39
houses for sale in greece;1;1300;322;/overseas-property/in-Greece.html;38
houses for sale in greece corfu;1;1000;248;/overseas-property-for-sale/Corfu.html;16
houses for sale greece;1;1000;248;/overseas-property/in-Greece.html;35
property for sale in kefalonia greece;1;1000;248;/overseas-property-for-sale/Cephalonia.html;24
property sales corfu greece;3;2900;237;/overseas-property-for-sale/Corfu.html;33
homes for sale in crete greece;1;880;218;/overseas-property-for-sale/Crete.html;22
houses for sale in kefalonia greece;1;720;178;/overseas-property-for-sale/Cephalonia.html;9
alan and amanda greece;1;1300;171;/news/articles/dream-properties/alan-carr-amanda-holden-greek-job-villa-renovation/;34
property for sale in corfu greece;2;1300;171;/overseas-property-for-sale/Corfu.html;24
houses for sale in rhodes greece;1;210;168;/overseas-property-for-sale/Rhodes.html;19
buy house in greece;1;210;168;/overseas-property/in-Greece.html;42
property for sale in zante greece;1;590;146;/overseas-property-for-sale/Zante.html;10
buying property in greece;1;1000;132;/overseas-property/in-Greece.html;34
villas for sale in greece;1;480;119;/overseas-property-for-sale/Greece.html;26
zakynthos greece property for sale;1;480;119;/overseas-property-for-sale/Zante.html;8
buy house mykonos greece;1;140;112;/overseas-property-for-sale/Mykonos.html;17
