keyword;volume;cpc;intent;kd
houses for sale in corfu greece;1300;0.26;3;14
houses for sale in crete greece;1300;0.15;3;18
houses for sale in greece;1300;0.38;3;38
houses for sale in greece corfu;1000;0.26;3;16
houses for sale in kefalonia greece;720;0.15;3;9
house for sale in greece;390;0.38;3;32
houses in greece;390;0.53;0;46
houses in greece for sale;390;0.25;3;34
for sale house in greece;320;0.25;3;36
houses for sale in greece europe;320;0.25;3;34
houses for sale in skiathos greece;320;0.58;3;16
houses for sale in zante greece;320;0.14;3;8
cheap houses for sale in greece near beach;260;0.19;3;21
buy house in greece;210;0.38;3;42
house for sale in crete greece;210;0.15;3;6
houses for sale in greece islands;210;0.2;3;32
houses for sale in rhodes greece;210;0.2;3;14
rent a house in greece;210;0.76;1;8
buy a house in greece;170;0.38;3;44
cheap houses for sale in greece;170;0.4;3;25
houses for sale in skopelos greece;170;0.06;3;2
house prices in greece;140;0.32;3;44
houses for sale in paxos greece;140;1.54;3;5
houses for sale in santorini greece;140;0.26;3;11
houses for sale in zakynthos greece;140;0.14;3;14
buy house in santorini greece;110;0.26;3;12
house for sale in corfu greece;110;0.26;3;16
house in greece price;110;0.34;0;36
houses for sale in lefkada greece;110;0.4;3;10
houses for sale in mykonos greece;110;0.38;3;12
houses for sale in peloponnese greece;110;0.15;3;8
houses to buy in greece;110;0.32;3;39
prices of houses in greece;110;0.34;0;0
buy a house in santorini greece;90;0.23;;0
buy cheap house in greece;90;0.4;3;26
buy house in athens greece;90;0.23;;0
buy house in greece cheap;90;0.4;3;26
buying a house in greece;90;0.38;3;34
cheap houses for sale in crete greece;90;0.15;;0
cheap houses to buy in greece;90;0.4;3;30
houses for rent in mykonos greece;90;1.31;;0
houses for sale in chania crete greece;90;0.13;;0
houses for sale in paros greece;90;0.52;3;6
buy house in greece island;70;0.2;;0
cheap houses for rent in greece long term;70;0.28;;0
cheap houses in greece;70;0.41;;0
house in greece;70;0.49;;0
house in greece for sale;70;0.3;;0
houses for rent in greece;70;0.58;;0
houses for sale in athens greece;70;0.23;;0
houses for sale in greece by the sea;70;0.35;;0
houses for sale in halkidiki greece;70;0.16;;0
houses for sale in kos greece;70;0.24;;0
houses for sale in naxos greece;70;0.19;;0
houses in crete greece for sale;70;0.13;;0
traditional houses in greece;70;0;;0
house for sale in thessaloniki greece;50;0.19;;0
house to buy in greece;50;0.42;;0
houses for sale in greece rhodes;50;0.16;;0
houses for sale in nafplio greece;50;0.2;;0
houses for sale in samos greece;50;0.21;;0
houses for sale in thessaloniki greece;50;0.19;;0
houses to rent in greece;50;0.58;;0
white and blue houses in greece;50;0.99;;0
buy a house in athens greece;40;0.23;;0
houses for sale in ikaria greece;40;0;;0
buy a cheap house in greece;30;0.39;;0
buy house in greece islands;30;0.2;;0
cheap houses for sale in crete greece by the sea;30;0.21;;0
cheap houses for sale in rhodes greece;30;0;;0
cheap houses for sale in rhodes greece under 100k;30;0;;0
house for sale in lefkada greece;30;0.26;;0
houses for rent in greece long term;30;0.29;;0
houses for sale in greece on the beach;30;0.24;;0
houses for sale in parga greece;30;0.24;;0
houses for sale in thassos greece;30;0.2;;0
houses in greece to buy;30;0.42;;0
tom hanks house in antiparos greece;30;0;;0
white houses in greece;30;0.51;;0
1 euro houses in greece;20;0;;0
1 euro houses in greece for sale;20;0;;0
1 euro houses in greece for sale with sea views;20;0.53;;0
abandoned houses for sale in greece;20;0;;0
abandoned houses in greece for sale;20;0;;0
average house cost in greece;20;0;;0
average house price in athens greece;20;0;;0
average house price in greece;20;0;;0
average price of a house in greece;20;0;;0
