keyword;volume;cpc;intent;kd
greece real estate;1000;0.27;0;39
greece real estate news today;720;0;1;19
greece real estate news;590;0;1;20
real estate greece;480;0.26;0;45
real estate in greece;480;0.29;0;40
real estate crete greece;390;0.16;0;18
corfu greece real estate;320;0.19;0;26
greece real estate for sale;320;0.22;3;41
real estate on crete greece;320;0.16;0;18
invest in greece real estate;260;1.6;1;15
athens greece real estate;210;0.33;0;24
crete greece real estate;210;0.16;0;18
real estate in greece europe;210;0.26;0;48
porto rafti greece real estate;170;0;0;9
santorini greece real estate;170;0.26;0;13
chania greece real estate;140;0.17;0;11
paros greece real estate;140;0.47;0;11
real estate for sale greece;140;0.18;3;51
athens greece real estate for sale;110;0.2;3;20
greece real estate market news today;110;0;1;12
luxury real estate greece;110;0.53;0;19
luxury real estate in greece;110;0.53;0;21
real estate athens greece;110;0.15;0;25
real estate corfu greece;110;0.19;0;14
real estate corfu island greece;110;0.19;0;6
real estate greece crete chania;110;0.12;0;16
real estate in crete greece;110;0.16;0;18
real estate mykonos greece;110;0.31;0;14
real estate santorini island greece;110;0.26;0;11
investing in real estate in greece;90;1.87;1;10
naxos greece real estate;90;0.06;0;9
real estate agents in greece;90;1.25;0;43
real estate for sale in greece;90;0.21;3;43
real estate tax greece;90;0;1;26
spitogatos real estate greece;90;0.98;2;32
greece crete real estate;70;0.16;0;21
greece ny real estate;70;0.22;0;20
greece real estate agency;70;0;0;34
ikaria greece real estate;70;0;0;5
kalamata greece real estate;70;0.13;0;7
milos greece real estate;70;0.27;0;0
real estate agencies in greece;70;1.36;0;26
real estate agents greece ny;70;1.25;0;22
real estate chania crete greece;70;0.17;0;15
real estate ikaria greece;70;0;1;4
real estate in greece for sale;70;0.18;3;40
real estate lefkada greece;70;0.3;0;21
real estate nafplio greece;70;0.28;0;9
real estate naxos greece;70;0.06;0;14
real estate rhodes greece;70;0.41;0;7
real estate santorini greece;70;0.21;0;14
real estate thessaloniki greece;70;0.32;0;7
syros greece real estate;70;0.26;0;5
athens real estate greece;50;0.33;0;26
chios greece real estate;50;0.08;0;4
crete greece real estate for sale;50;0.16;3;16
greece luxury real estate;50;0.53;0;10
greece real estate sale;50;0.18;3;51
greece real estate websites;50;0.51;0;29
hydra greece real estate;50;0.26;0;0
mykonos greece real estate;50;0.31;0;7
real estate agency greece;50;1.25;0;45
real estate greece ny;50;0.08;0;26
real estate in greece peloponnese;50;0.25;0;3
real estate in santorini greece;50;0.26;0;13
real estate kalamata greece;50;0.05;0;7
real estate lawyer greece;50;0;0;11
real estate lawyers greece;50;0;1;4
real estate paros greece;50;0.47;0;8
real estate peloponnese greece;50;0.25;0;2
rhodes greece real estate;50;0.38;0;2
buying real estate in greece;40;0.96;1;19
glyfada greece real estate;40;0.45;0;5
greece real estate market;40;0;1,0;13
kefalonia greece real estate;40;0.29;0;29
nafplio greece real estate;40;0.28;0;2
real estate chios island greece;40;0;0;9
real estate kefalonia greece;40;0.29;0;37
real estate listings in greece;40;0;0;40
real estate news greece;40;0;1;13
real estate skopelos greece;40;0.03;0;0
real estate zakynthos greece;40;0.28;0;9
