keyword;volume;cpc;intent;kd
elounda lasithi greece;3600;1.12;1;23
parga epirus greece;3600;1.03;1;26
lassi kefalonia greece;2900;1.18;1;23
skala kefalonia greece;2400;1.44;1;34
pefkos rhodes greece;1900;1.14;1;45
faliraki rhodes greece;1600;1.42;1;35
fiskardo kefalonia greece;1600;1.21;1;28
kefalos kos greece;1300;1.67;1;32
kardamyli messinia greece;1300;1.41;1;25
naoussa paros greece;1000;1.27;1;29
laganas zakynthos greece;1000;1.57;1;37
kassiopi corfu greece;720;1.13;1;31
lindos rhodes greece;590;1.19;1;31
oia santorini greece;590;0.8;1;34
acharavi corfu greece;590;1.35;1;27
troulos skiathos greece;590;1.17;1;27
sidari corfu greece;480;1.18;1;22
rethymno crete greece;390;1.45;1;34
fira santorini greece;390;1.31;1;28
argostoli kefalonia greece;390;1.27;1;35
kolymbia rhodes greece;390;1.21;1;22
kassandra halkidiki greece;390;1.03;1;30
plaka milos greece;320;1.33;1;31
ornos mykonos greece;320;1.7;1;28
paleokastritsa corfu greece;260;1.19;1;33
nidri lefkada greece;210;1.44;1;30
vasiliki lefkada greece;170;1.49;1;15
agios prokopios naxos greece;140;1.21;;0
ermoupoli syros greece;140;1.35;1;18
kalamata messinia greece;140;1.32;1;22
heraklion crete greece;110;0.78;;0
sithonia halkidiki greece;110;1.18;2;22
koukounaries skiathos greece;110;1.85;1;28
sivota epirus greece;110;1.01;;0
chania crete greece;90;0.95;;0
agios nikolaos crete greece;90;1.2;1;35
kardamena kos greece;90;1.11;1;23
nea moudania halkidiki greece;90;1.26;1;25
costa navarino messinia greece;90;1.18;2;34
voula attica greece;90;1.11;1;22
parikia paros greece;70;1.43;;0
apollonia sifnos greece;30;1.13;;0
anavyssos attica greece;20;1.04;;0
loutraki corinthia greece;20;0.88;;0
chora naxos greece;20;0.88;;0
tsilivi zakynthos greece;10;1.13;;0
pelion volos greece;10;0;;0
chora mykonos greece;10;0;;0
